sex;function;km_transport;nationality;contract_pct;base_salary;clob;nr_managers_above;manager;direct;CLA_domain;grading;maritalstatus;years_of_services;age
Man;B737 Eerste officier;20;NL;100;7,43773385;clob_4;4;0;0;Cockpit;grade_3;Relationship;8;32
Man;B737 Eerste officier;18;NL;100;7,364193638;clob_4;4;0;0;Cockpit;grade_3;Relationship;7;32
Man;B737 Eerste officier;15;NL;100;7,320299321;clob_4;4;0;0;Cockpit;grade_3;Relationship;5;34
Man;B737 Eerste officier;46;NL;100;7,376258429;clob_4;4;0;0;Cockpit;grade_3;Relationship;7;33
Man;B777 Eerste Officier;14;NL;100;7,815536801;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;34
Man;B777 Tweede Officier;16;NL;100;6,757224654;clob_4;4;0;0;Cockpit;grade_3;Single;0;27
Man;B777 Tweede Officier;94;NL;100;7,267331423;clob_4;4;0;0;Cockpit;grade_3;Relationship;5;30
Man;B777 Tweede Officier;43;NL;100;6,747505918;clob_4;4;0;0;Cockpit;grade_3;Single;0;26
Man;B777 Tweede Officier;39;NL;100;7,240458154;clob_4;4;0;0;Cockpit;grade_3;Single;5;28
Man;B777 Tweede Officier;13;NL;100;7,150214063;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;31
Man;B777 Tweede Officier;22;NL;100;7,170196876;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;32
Man;B777 Tweede Officier;110;NL;100;7,082232715;clob_4;4;0;0;Cockpit;grade_3;Single;3;31
Man;B777 Tweede Officier;43;NL;100;7,099281117;clob_4;3;0;0;Cockpit;grade_3;Single;3;32
Man;B777 Tweede Officier;58;NL;100;7,128483594;clob_4;4;0;0;Cockpit;grade_3;Single;5;27
Man;B777 Tweede Officier;15;NL;100;7,120219602;clob_4;4;0;0;Cockpit;grade_3;Single;4;29
Man;B777 Tweede Officier;14;NL;100;7,059075198;clob_4;4;0;0;Cockpit;grade_3;Single;3;30
Man;B777 Tweede Officier;14;NL;100;7,048786272;clob_4;4;0;0;Cockpit;grade_3;Single;4;25
Man;B777 Tweede Officier;55;NL;100;6,793372165;clob_4;4;0;0;Cockpit;grade_3;Single;0;28
Man;B777 Tweede Officier;104;NL;100;6,853417814;clob_4;4;0;0;Cockpit;grade_3;Single;0;31
Man;B777 Tweede Officier;37;NL;100;7,116064577;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;33
Man;B777 Tweede Officier;169;Not NL;100;6,879644642;clob_4;4;0;0;Cockpit;grade_3;Single;3;25
Man;B777 Tweede Officier;13;NL;100;7,109103813;clob_4;4;0;0;Cockpit;grade_3;Single;4;28
Man;B777 Tweede Officier;14;NL;100;7,182012072;clob_4;3;0;0;Cockpit;grade_3;Relationship;4;33
Man;B777 Tweede Officier;43;NL;100;7,102096264;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;32
Man;B777 Tweede Officier;19;NL;100;6,998910262;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;27
Man;B777 Tweede Officier;60;NL;100;7,139402694;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;30
Man;B777 Tweede Officier;22;NL;100;7,150214063;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;31
Man;B777 Tweede Officier;14;NL;100;6,717818336;clob_4;4;0;0;Cockpit;grade_3;Single;0;25
Man;B777 Tweede Officier;19;NL;100;7,121601066;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;33
Man;B777 Tweede Officier;12;NL;100;7,050262133;clob_4;4;0;0;Cockpit;grade_3;Relationship;5;25
Man;B777 Tweede Officier;48;NL;100;6,88995881;clob_4;4;0;0;Cockpit;grade_3;Relationship;0;33
Man;B777 Tweede Officier;54;NL;100;7,125736482;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;34
Man;B777 Tweede Officier;186;NL;100;6,787744829;clob_4;4;0;0;Cockpit;grade_3;Single;0;28
Man;B777 Tweede Officier;35;NL;100;7,235499967;clob_4;4;0;0;Cockpit;grade_3;Single;5;34
Man;B777 Tweede Officier;999;NL;80;7,080799931;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;27
Man;B777 Tweede Officier;11;NL;100;7,057611339;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;30
Man;B777 Tweede Officier;20;NL;100;7,093628714;clob_4;4;0;0;Cockpit;grade_3;Single;4;27
Man;B777 Tweede Officier;13;NL;100;7,054677655;clob_4;4;0;0;Cockpit;grade_3;Relationship;5;26
Man;B777 Tweede Officier;14;NL;100;7,097870787;clob_4;4;0;0;Cockpit;grade_3;Single;4;28
Man;B777 Tweede Officier;16;NL;100;7,023379535;clob_4;4;0;0;Cockpit;grade_3;Single;3;28
Man;B777 Tweede Officier;17;NL;100;7,251532964;clob_4;4;0;0;Cockpit;grade_3;Relationship;5;29
Man;B777 Tweede Officier;65;NL;66,67;7,510444803;clob_4;4;0;0;Cockpit;grade_3;Relationship;8;34
Man;A330 Eerste Officier;999;NL;66,67;7,964532275;clob_4;4;0;0;Cockpit;grade_3;Relationship;18;43
Man;A330 Eerste Officier;36;NL;100;7,889215614;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;39
Man;A330 Eerste Officier;999;NL;80;7,93308058;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;44
Man;A330 Eerste Officier;49;NL;100;7,91997569;clob_4;4;0;0;Cockpit;grade_3;Single;17;41
Man;A330 Eerste Officier;19;NL;90;7,940868158;clob_4;4;0;0;Cockpit;grade_3;Relationship;18;40
Man;A330 Eerste Officier;43;Not NL;90;7,972725073;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;43
Man;A330 Eerste Officier;18;NL;100;7,920634687;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;41
Man;A330 Eerste Officier;30;NL;100;7,854756393;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;37
Man;A330 Eerste Officier;122;NL;100;7,876936923;clob_4;4;0;0;Cockpit;grade_3;Single;16;37
Man;A330 Eerste Officier;17;NL;100;7,86659682;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;38
Man;A330 Tweede Officier;999;NL;100;7,217963366;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;35
Man;A330 Tweede Officier;159;NL;100;7,196279174;clob_4;4;0;0;Cockpit;grade_3;Single;3;43
Man;B737 Eerste officier;168;NL;100;7,120219602;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;38
Man;B737 Eerste officier;66;NL;100;7,233012311;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;40
Man;B737 Eerste officier;31;NL;100;7,158250991;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;35
Man;B737 Eerste officier;29;NL;100;7,182012072;clob_4;4;0;0;Cockpit;grade_3;Single;3;37
Man;B737 Eerste officier;;NL;100;7,073607359;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;35
Man;B737 Eerste officier;67;NL;100;7,09504459;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;36
Man;B737 Eerste officier;74;NL;100;7,09504459;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;36
Man;B737 Eerste officier;23;NL;100;7,367497077;clob_4;4;0;0;Cockpit;grade_3;Single;5;37
Man;B737 Eerste officier;116;NL;90;7,710363992;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;40
Man;B737 Eerste officier;48;NL;90;7,641793991;clob_4;4;0;0;Cockpit;grade_3;Relationship;11;40
Man;B737 Eerste officier;43;NL;100;7,655355293;clob_4;4;0;0;Cockpit;grade_3;Relationship;11;41
Man;B737 Eerste officier;19;NL;100;7,444922723;clob_4;4;0;0;Cockpit;grade_3;Relationship;7;38
Man;B737 Eerste officier;56;NL;90;7,520989033;clob_4;4;0;0;Cockpit;grade_3;Relationship;8;36
Man;B737 Eerste officier;58;NL;100;7,401057405;clob_4;4;0;0;Cockpit;grade_3;Relationship;7;35
Man;B737 Eerste officier;14;NL;90;7,689185795;clob_4;4;0;0;Cockpit;grade_3;Single;8;40
Man;B737 Eerste officier;45;NL;100;7,768790116;clob_4;4;0;0;Cockpit;grade_3;Single;15;44
Man;B737 Eerste officier;117;NL;100;7,536144135;clob_4;4;0;0;Cockpit;grade_3;Relationship;8;40
Man;B737 Eerste officier;206;NL;90;7,475198789;clob_4;4;0;0;Cockpit;grade_3;Relationship;8;35
Man;B737 Eerste officier;14;NL;100;7,559406749;clob_4;4;0;0;Cockpit;grade_3;Relationship;9;36
Man;B737 Eerste officier;15;NL;100;7,640086916;clob_4;4;0;0;Cockpit;grade_3;Relationship;11;40
Man;B737 Eerste officier;21;NL;80;7,639231374;clob_4;4;0;0;Cockpit;grade_3;Relationship;11;39
Man;B737 Eerste officier;17;NL;90;7,749663797;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;44
Man;B737 Eerste officier;120;NL;100;7,555717509;clob_4;4;0;0;Cockpit;grade_3;Relationship;9;36
Man;B737 Gezagvoerder;40;NL;100;7,97021032;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;38
Man;B737 Gezagvoerder;29;NL;100;8,06186202;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;42
Man;B737 Gezagvoerder;52;NL;80;8,088129924;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;43
Man;B737 Gezagvoerder;21;NL;90;7,989544795;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;38
Man;B737 Gezagvoerder;9;NL;80;8,058967261;clob_4;4;0;0;Cockpit;grade_3;Relationship;19;41
Man;B737 Gezagvoerder;22;NL;80;8,096561834;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;44
Man;B737 Gezagvoerder;999;NL;100;8,068777016;clob_4;4;0;0;Cockpit;grade_3;Single;21;43
Man;B737 Gezagvoerder;22;NL;100;7,974606758;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;39
Man;B737 Gezagvoerder;113;NL;90;7,965796645;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;38
Man;B737 Gezagvoerder;101;NL;100;7,998777045;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;42
Man;B737 Gezagvoerder;209;NL;80;7,97836032;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;37
Man;B737 Gezagvoerder;18;NL;100;8,0266069;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;41
Man;B737 Gezagvoerder;14;NL;80;8,094320447;clob_4;4;0;0;Cockpit;grade_3;Relationship;21;44
Man;B737 Gezagvoerder;140;NL;100;8,08020408;clob_4;4;0;0;Cockpit;grade_3;Relationship;19;44
Man;B737 Gezagvoerder;35;NL;100;7,984588131;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;40
Man;B737 Gezagvoerder;142;NL;100;7,990162692;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;41
Man;B737 Gezagvoerder;123;NL;80;8,063017486;clob_4;4;0;0;Cockpit;grade_3;Relationship;19;42
Man;B737 Gezagvoerder;89;NL;100;8,011570747;clob_4;4;0;0;Cockpit;grade_3;Single;15;44
Man;B737 Gezagvoerder;13;NL;90;7,982101603;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;37
Man;B737 Gezagvoerder;17;NL;80;8,017610491;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;43
Man;B777 Eerste Officier;138;NL;80;7,939574247;clob_4;4;0;0;Cockpit;grade_3;Relationship;18;40
Man;B777 Eerste Officier;29;NL;100;7,883775997;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;39
Man;B777 Eerste Officier;30;NL;100;7,98768898;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;42
Man;B777 Eerste Officier;53;NL;100;7,819885643;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;36
Man;B777 Eerste Officier;46;NL;100;7,912699292;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;39
Man;B777 Eerste Officier;95;NL;100;7,881045087;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;42
Man;B777 Eerste Officier;113;NL;80;7,923923652;clob_4;4;0;0;Cockpit;grade_3;Relationship;18;41
Man;B777 Eerste Officier;93;NL;80;7,878992958;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;38
Man;B777 Eerste Officier;21;NL;90;7,878992958;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;37
Man;B777 Eerste Officier;184;NL;100;7,826374998;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;36
Man;B777 Eerste Officier;101;NL;100;7,822053097;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;36
Man;B777 Eerste Officier;20;NL;90;7,969580898;clob_4;4;0;0;Cockpit;grade_3;Relationship;19;42
Man;B777 Eerste Officier;57;NL;90;7,992630751;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;42
Man;B777 Eerste Officier;999;NL;80;7,846320748;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;36
Man;B777 Eerste Officier;6;NL;80;7,993246885;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;43
Man;B777 Eerste Officier;89;NL;100;8,015802322;clob_4;4;0;0;Cockpit;grade_3;Relationship;21;43
Man;B777 Eerste Officier;864;NL;100;7,914025786;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;42
Man;B777 Eerste Officier;20;NL;80;7,849843611;clob_4;4;0;0;Cockpit;grade_3;Single;15;37
Man;B777 Eerste Officier;21;NL;100;7,914025786;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;42
Man;B777 Eerste Officier;23;NL;80;7,931777299;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;44
Man;B777 Eerste Officier;52;NL;80;7,881045087;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;37
Man;B777 Eerste Officier;41;NL;66,67;7,832826422;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;39
Man;B777 Eerste Officier;51;NL;100;7,861736918;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;37
Man;B777 Eerste Officier;28;NL;80;7,909375142;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;39
Man;B777 Eerste Officier;64;NL;100;7,852653651;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;37
Man;B777 Eerste Officier;9;NL;80;8,001225519;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;44
Man;B777 Eerste Officier;18;NL;100;7,919316291;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;40
Man;B777 Eerste Officier;999;Not NL;90;7,86034458;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;37
Man;B777 Eerste Officier;207;Not NL;100;7,850546807;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;39
Man;B777 Eerste Officier;26;NL;80;7,918655723;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;43
Man;B777 Eerste Officier;50;Not NL;100;7,905373538;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;40
Man;B777 Eerste Officier;808;Not NL;90;7,97836032;clob_4;4;0;0;Cockpit;grade_3;Relationship;19;44
Man;B777 Eerste Officier;;NL;100;7,893278207;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;40
Man;B777 Eerste Officier;42;NL;100;7,874876967;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;42
Man;B777 Eerste Officier;122;NL;100;7,832826422;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;37
Man;B777 Eerste Officier;21;NL;100;7,908709236;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;39
Man;B777 Eerste Officier;78;NL;100;7,913362743;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;40
Man;B777 Eerste Officier;16;NL;100;8,015198925;clob_4;4;0;0;Cockpit;grade_3;Relationship;21;44
Man;B777 Eerste Officier;24;NL;100;7,831396283;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;36
Man;B777 Eerste Officier;146;NL;100;7,823495653;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;36
Man;B777 Eerste Officier;16;NL;100;7,895977615;clob_4;4;0;0;Cockpit;grade_3;Single;14;44
Man;B777 Eerste Officier;17;NL;100;7,914025786;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;39
Man;B777 Eerste Officier;182;NL;100;7,885819065;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;39
Man;B777 Eerste Officier;999;NL;80;7,939574247;clob_4;4;0;0;Cockpit;grade_3;Relationship;18;40
Man;B777 Eerste Officier;28;NL;80;7,983967036;clob_4;4;0;0;Cockpit;grade_3;Relationship;19;44
Man;B777 Eerste Officier;107;NL;100;7,940868158;clob_4;4;0;0;Cockpit;grade_3;Relationship;18;40
Man;B777 Eerste Officier;17;NL;100;8,017008104;clob_4;4;0;0;Cockpit;grade_3;Relationship;21;44
Man;B777 Eerste Officier;71;NL;100;7,88649923;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;38
Man;B777 Eerste Officier;54;NL;100;7,92326666;clob_4;4;0;0;Cockpit;grade_3;Single;17;41
Man;B777 Eerste Officier;21;NL;100;7,890571249;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;39
Man;B777 Eerste Officier;114;NL;100;7,865904001;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;41
Man;B777 Eerste Officier;90;NL;90;7,914688422;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;40
Man;B777 Eerste Officier;50;NL;100;7,891925183;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;42
Man;B777 Eerste Officier;81;NL;90;7,912035434;clob_4;4;0;0;Cockpit;grade_3;Single;17;39
Man;B777 Eerste Officier;25;NL;100;7,904036369;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;40
Man;B777 Eerste Officier;13;NL;100;7,924580245;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;40
Man;B777 Eerste Officier;16;NL;90;7,925892234;clob_4;4;0;0;Cockpit;grade_3;Relationship;17;41
Man;B777 Eerste Officier;38;NL;100;7,964532275;clob_4;4;0;0;Cockpit;grade_3;Relationship;19;41
Man;B777 Eerste Officier;102;NL;80;7,925236439;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;44
Man;B777 Eerste Officier;10;NL;66,67;7,907376193;clob_4;4;0;0;Cockpit;grade_3;Single;17;39
Man;B777 Eerste Officier;18;NL;100;7,828530312;clob_4;4;0;0;Cockpit;grade_3;Relationship;14;37
Man;B777 Tweede Officier;999;NL;100;7,306426336;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;41
Man;B777 Tweede Officier;37;NL;100;7,215434939;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;39
Man;B777 Tweede Officier;107;NL;100;7,235499967;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;41
Man;B777 Tweede Officier;27;NL;100;7,298251489;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;40
Man;B777 Tweede Officier;38;NL;100;7,210358783;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;35
Man;B777 Tweede Officier;29;NL;100;7,167553972;clob_4;4;0;0;Cockpit;grade_3;Single;3;36
Man;B777 Tweede Officier;40;NL;100;7,182012072;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;37
Man;B777 Tweede Officier;45;NL;100;7,215434939;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;35
Man;B777 Tweede Officier;16;NL;100;6,926960234;clob_4;4;0;0;Cockpit;grade_3;Relationship;0;35
Man;B777 Tweede Officier;59;NL;100;7,138043828;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;35
Man;B777 Tweede Officier;51;NL;100;7,313616404;clob_4;4;0;0;Cockpit;grade_3;Single;4;42
Man;B777 Tweede Officier;27;NL;100;7,272145927;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;39
Man;B777 Tweede Officier;164;Not NL;100;7,560326826;clob_4;4;0;0;Cockpit;grade_3;Relationship;8;39
Man;B777 Tweede Officier;138;NL;66,67;7,344156657;clob_4;4;0;0;Cockpit;grade_3;Relationship;4;44
Man;A32N Gezagvoerder;59;NL;80;8,124196128;clob_4;3;0;0;Cockpit;grade_3;Relationship;20;52
Man;A330 Eerste Officier;516;Not NL;80;7,999389684;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;47
Man;A330 Eerste Officier;40;NL;80;8,023616647;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;50
Man;A330 Eerste Officier;175;NL;90;8,033157144;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;52
Man;A330 Eerste Officier;20;NL;100;8,02421536;clob_4;4;0;0;Cockpit;grade_3;Relationship;20;47
Man;A330 Eerste Officier;139;NL;90;8,012781962;clob_4;4;0;0;Cockpit;grade_3;Relationship;19;48
Man;A330 Eerste Officier;19;NL;80;7,963899535;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;48
Man;A330 Eerste Officier;58;NL;66,67;8,033157144;clob_4;4;0;0;Cockpit;grade_3;Relationship;24;54
Man;A330 Eerste Officier;31;Not NL;100;7,992630751;clob_4;4;0;0;Cockpit;grade_3;Separated;20;45
Man;A330 Gezagvoerder;18;NL;66,67;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;27;52
Man;A330 Gezagvoerder;142;NL;80;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;32;53
Man;A330 Gezagvoerder;15;NL;80;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;26;48
Man;A330 Gezagvoerder;23;NL;90;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;26;48
Man;A330 Gezagvoerder;189;NL;80;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;28;51
Man;A330 Gezagvoerder;42;NL;80;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;29;53
Man;A330 Gezagvoerder;19;NL;80;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;25;51
Man;A330 Gezagvoerder;122;NL;80;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;32;53
Man;A330 Gezagvoerder;22;NL;80;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;28;52
Man;A330 Gezagvoerder;22;NL;80;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;28;50
Man;A330 Gezagvoerder;39;NL;100;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;29;54
Man;A330 Gezagvoerder;17;NL;80;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;26;48
Man;A330 Gezagvoerder;67;NL;100;8,340998677;clob_4;4;0;0;Cockpit;grade_3;Relationship;25;52
Man;B737 Eerste officier;21;NL;80;7,727044714;clob_4;4;0;0;Cockpit;grade_3;Relationship;11;48
Man;B737 Eerste officier;46;NL;80;7,753515897;clob_4;4;0;0;Cockpit;grade_3;Relationship;11;51
Man;B737 Eerste officier;121;NL;100;7,715952292;clob_4;4;0;0;Cockpit;grade_3;Relationship;11;47
Man;B737 Eerste officier;160;NL;80;7,734114696;clob_4;4;0;0;Cockpit;grade_3;Single;11;49
Man;B737 Eerste officier;;NL;80;7,35422226;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;49
Man;B737 Eerste officier;13;NL;80;7,750435317;clob_4;4;0;0;Cockpit;grade_3;Relationship;11;51
Man;B737 Gezagvoerder;33;NL;100;8,124196128;clob_4;4;0;0;Cockpit;grade_3;Relationship;26;51
Man;B737 Gezagvoerder;114;NL;80;8,08474166;clob_4;4;0;0;Cockpit;grade_3;Relationship;18;47
Man;B737 Gezagvoerder;27;NL;80;8,124196128;clob_4;4;0;0;Cockpit;grade_3;Relationship;26;48
Man;B737 Gezagvoerder;18;NL;100;8,114329323;clob_4;4;0;0;Cockpit;grade_3;Relationship;22;45
Man;B737 Gezagvoerder;51;NL;90;8,124196128;clob_4;4;0;0;Cockpit;grade_3;Relationship;23;48
Man;B737 Gezagvoerder;96;NL;80;8,124196128;clob_4;4;0;0;Cockpit;grade_3;Relationship;25;48
Man;B737 Gezagvoerder;31;NL;80;8,124196128;clob_4;4;0;0;Cockpit;grade_3;Relationship;21;46
Man;B737 Gezagvoerder;19;NL;80;8,124196128;clob_4;4;0;0;Cockpit;grade_3;Relationship;22;50
Man;B737 Gezagvoerder;57;NL;80;8,081907661;clob_4;4;0;0;Cockpit;grade_3;Relationship;18;47
Man;B737 Gezagvoerder;21;NL;100;8,124196128;clob_4;2;0;0;Cockpit;grade_3;Relationship;23;47
Man;B737 Gezagvoerder;999;NL;100;8,040257784;clob_4;4;0;0;Cockpit;grade_3;Relationship;16;45
Man;B737 Gezagvoerder;108;NL;80;8,016405381;clob_4;4;0;0;Cockpit;grade_3;Relationship;15;45
